Name,kind,Pmax,Pmin,MUT,MDT,inist,a,b,c,a_hr,b_hr,c_hr,carbon_coefficient,hc,cc,shot,scold,tcold,must_run,ramp_up,ramp_down,factor_minimum_uptime,basin
lignite_1,lignite-st,274,152,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_2,lignite-st,274,152,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_3,lignite-st,283,157,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_4,lignite-st,283,157,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_5,lignite-st,342,190,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_6,lignite-st,273,152,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_7,lignite-st,273,152,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_8,lignite-st,275,153,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_9,lignite-st,275,153,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_10,lignite-st,280,156,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_11,lignite-st,280,156,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_12,lignite-st,255,142,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_13,lignite-st,256,142,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_14,lignite-st,289,161,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_15,lignite-st,116,64,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_16,lignite-st,274,152,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
lignite_17,lignite-st,615,342,16,1,-1,900,34,0.0005,0,12000,0,0.000111789,68000,185000,4,11,144,0,0,0,0.3,-
nat_gas_1,nat-gas-st,1000,345,10,3,-3,650,57,0.002,0,7500,0,0.000111789,20000,60000,4,11,144,0,0,0,0.3,
nat_gas_2,nat-gas-ccgt,811,280,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_3,nat-gas-ccgt,550.2,190,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_4,nat-gas-ccgt,377.6,130,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_5,nat-gas-ccgt,476.3,164,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_6,nat-gas-ccgt,417,144,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_7,nat-gas-ccgt,422.1,146,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_8,nat-gas-ccgt,433.5,149,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_9,nat-gas-ccgt,410,141,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_10,nat-gas-ccgt,400.3,138,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_11,nat-gas-ccgt,432.7,149,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_12,nat-gas-ccgt,476,164,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,1,0,0,0.3,-
nat_gas_13,nat-gas-ccgt,825,284,10,3,-3,650,57,0.002,0,7500,0,5.66E-05,20000,60000,3,7,72,0,0,0,0.3,-
nat_gas_14,nat-gas-ocgt,49.26,5,1,2,-2,400,80,0.005,0,13000,0,5.66E-05,2500,8500,0,0,0,0,0,0,0.3,-
nat_gas_15,nat-gas-ocgt,49.26,5,1,2,-2,400,80,0.005,0,13000,0,5.66E-05,2500,8500,0,0,0,0,0,0,0.3,-
nat_gas_16,nat-gas-ocgt,49.26,5,1,2,-2,400,80,0.005,0,13000,0,5.66E-05,2500,8500,0,0,0,0,0,0,0.3,-
hydro_1,hydro,50,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,aliakmonas
hydro_2,hydro,108,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,aliakmonas
hydro_3,hydro,19,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,aliakmonas
hydro_4,hydro,384,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,nestos
hydro_5,hydro,320,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,acheloos
hydro_6,hydro,437.2,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,acheloos
hydro_7,hydro,70,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,ladonas
hydro_8,hydro,129.9,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,tavropos
hydro_9,hydro,210,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,arachthos
hydro_10,hydro,116,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,nestos
hydro_11,hydro,375,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,aliakmonas
hydro_12,hydro,300,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,arachthos
hydro_13,hydro,33.6,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,arachthos
hydro_14,hydro,150,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,acheloos
hydro_15,hydro,315,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,aliakmonas
hydro_16,hydro,153,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,aliakmonas
hydro_17,hydro,160,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,acheloos
hydro_18,hydro,29,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,arachthos
hydro_19,hydro,83.6,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,acheloos
