month,smp
2012-01-01,72.2
2012-02-01,81.64
2012-03-01,63.65
2012-04-01,45.31
2012-05-01,44.37
2012-06-01,58.9
2012-07-01,67.82
2012-08-01,64.06
2012-09-01,50.6
2012-10-01,44.1
2012-11-01,42.449
2012-12-01,45.539
2013-01-01,72.2
2013-02-01,81.64
2013-03-01,63.65
2013-04-01,45.31
2013-05-01,44.37
2013-06-01,58.9
2013-07-01,67.82
2013-08-01,64.06
2013-09-01,50.6
2013-10-01,44.19
2013-11-01,42.45
2013-12-01,42.54
2014-01-01,72.2
2014-02-01,81.64
2014-03-01,63.65
2014-04-01,45.31
2014-05-01,44.37
2014-06-01,58.9
2014-07-01,67.82
2014-08-01,64.06
2014-09-01,50.6
2014-10-01,44.19
2014-11-01,42.45
2014-12-01,42.54
2015-01-01,63.25
2015-02-01,59.709
2015-03-01,58.146
2015-04-01,48.343
2015-05-01,49.924
2015-06-01,49.163
2015-07-01,54.3
2015-08-01,51.199
2015-09-01,51.833
2015-10-01,48.129
2015-11-01,50.707
2015-12-01,52.253
2016-01-01,50.046
2016-02-01,44.053
2016-03-01,40.346
2016-04-01,39.21
2016-05-01,41.867
2016-06-01,41.306
2016-07-01,43.141
2016-08-01,39.508
2016-09-01,40.232
2016-10-01,43.772
2016-11-01,43.548
2016-12-01,52.246
2017-01-01,78.177
2017-02-01,58.346
2017-03-01,47.043
2017-04-01,44.859
2017-05-01,46.832
2017-06-01,52.54
2017-07-01,54.787
2017-08-01,51.773
2017-09-01,54.635
2017-10-01,56.498
2017-11-01,74.359
2017-12-01,58.201
2018-01-01,54.572
2018-02-01,52.881
2018-03-01,45.15
2018-04-01,51.49
2018-05-01,57.201
2018-06-01,62.219
2018-07-01,66.599
2018-08-01,65.185
2018-09-01,68.562
2018-10-01,72.114
2018-11-01,70.015
2018-12-01,72.292
2019-01-01,77.128
2019-02-01,69.076
2019-03-01,59.952
2019-04-01,62.365
2019-05-01,65.734
2019-06-01,67.738
2019-07-01,63.137
2019-08-01,63.489
2019-09-01,60.826
2019-10-01,63.229
2019-11-01,55.225
2019-12-01,61.071
2020-01-01,60.539
2020-02-01,48.206
2020-03-01,42.41
2020-04-01,27.71
2020-05-01,33.637
2020-06-01,33.636
2020-07-01,41.679
2020-08-01,47.114
2020-09-01,48.444
2020-10-01,48.282
2020-11-01,55.421
2020-12-01,63.83
2021-01-01,55.441
2021-02-01,50.787
2021-03-01,58.614
2021-04-01,64.003
2021-05-01,63.172
2021-06-01,86.385
2021-07-01,103.446
2021-08-01,127.446
2021-09-01,136.399
2021-10-01,204.052
2021-11-01,236.376
2021-12-01,244.874
2022-01-01,121.7715824
2022-02-01,99.10857282
2022-03-01,71.55441368
2022-04-01,109.2425524
2022-05-01,110.8380277
2022-06-01,96.45967518
2022-07-01,60.03026759
2022-08-01,96.45967518
2022-09-01,96.45967518
2022-10-01,99.32139495
2022-11-01,53.9953758
2022-12-01,79.53352105
2023-01-01,60.03026759
2023-02-01,81.8417152
2023-03-01,96.81778193
2023-04-01,60.85365478
2023-05-01,106.1796739
2023-06-01,79.53352105
2023-07-01,109.2425524
2023-08-01,65.84785395
2023-09-01,101.9193353
2023-10-01,110.0223679
2023-11-01,72.43948541
2023-12-01,98.07719408
2024-01-01,52.75117493
2024-02-01,73.82696132
2024-03-01,93.88961223
2024-04-01,107.6911319
2024-05-01,112.6135555
2024-06-01,150.0305901
2024-07-01,104.704571
2024-08-01,71.55441368
2024-09-01,74.34206801
2024-10-01,102.9751155
2024-11-01,57.64909636
2024-12-01,90.15573034
2025-01-01,80.68502627
2025-02-01,68.13842676
2025-03-01,68.13842676
2025-04-01,76.10237071
2025-05-01,69.27900429
2025-06-01,74.34206801
2025-07-01,107.7029987
2025-08-01,62.37697953
2025-09-01,90.15573034
2025-10-01,106.7162987
2025-11-01,152.0423179
2025-12-01,124.8595402
2026-01-01,79.53352105
2026-02-01,73.82696132
2026-03-01,91.3859992
2026-04-01,119.6680872
2026-05-01,97.83636607
2026-06-01,143.1623852
2026-07-01,123.7124353
2026-08-01,78.38641611
2026-09-01,106.1796739
2026-10-01,92.63020007
2026-11-01,95.16560984
2026-12-01,132.8087566
2027-01-01,116.8804328
2027-02-01,94.25640076
2027-03-01,121.4283899
2027-04-01,76.10237071
2027-05-01,68.13842676
2027-06-01,96.45967518
2027-07-01,93.88961223
2027-08-01,109.2425524
2027-09-01,110.8380277
2027-10-01,68.13842676
2027-11-01,57.64909636
2027-12-01,68.13842676
2028-01-01,60.03026759
2028-02-01,60.03026759
2028-03-01,68.85452385
2028-04-01,114.180543
2028-05-01,110.8380277
2028-06-01,114.180543
2028-07-01,133.4617758
2028-08-01,139.5824199
2028-09-01,96.81778193
2028-10-01,51.49176277
2028-11-01,101.9193353
2028-12-01,131.8629347
2029-01-01,86.53691555
2029-02-01,80.68502627
2029-03-01,107.6911319
2029-04-01,101.9193353
2029-05-01,116.8804328
2029-06-01,71.55441368
2029-07-01,53.9953758
2029-08-01,57.64909636
2029-09-01,66.99495889
2029-10-01,61.20747185
2029-11-01,101.8509737
2029-12-01,91.3859992
2030-01-01,101.8509737
2030-02-01,76.10237071
2030-03-01,85.35110741
2030-04-01,68.85452385
2030-05-01,114.180543
2030-06-01,133.4617758
2030-07-01,102.9751155
2030-08-01,57.64909636
2030-09-01,57.64909636
2030-10-01,101.8509737
2030-11-01,100.4670609
2030-12-01,85.35110741
2031-01-01,83.00439547
2031-02-01,101.7691965
2031-03-01,63.91653323
2031-04-01,109.2425524
2031-05-01,143.1623852
2031-06-01,99.10857282
2031-07-01,100.5516638
2031-08-01,55.22564466
2031-09-01,120.4529308
2031-10-01,161.2652192
2031-11-01,107.7029987
2031-12-01,62.37697953
2032-01-01,79.53352105
2032-02-01,68.13842676
2032-03-01,64.69634873
2032-04-01,69.27900429
2032-05-01,110.8380277
2032-06-01,97.7734139
2032-07-01,136.376988
2032-08-01,128.2843246
2032-09-01,95.16560984
2032-10-01,87.73227864
2032-11-01,110.8380277
2032-12-01,73.82696132
2033-01-01,97.7734139
2033-02-01,57.64909636
2033-03-01,93.88961223
2033-04-01,76.10237071
2033-05-01,68.85452385
2033-06-01,114.180543
2033-07-01,80.68502627
2033-08-01,83.00439547
2033-09-01,65.84785395
2033-10-01,96.81778193
2033-11-01,55.14104172
2033-12-01,100.4670609
2034-01-01,107.7029987
2034-02-01,62.37697953
2034-03-01,52.75117493
2034-04-01,93.88961223
2034-05-01,132.8087566
2034-06-01,178.1347758
2034-07-01,152.0423179
2034-08-01,151.5056931
2034-09-01,112.6135555
2034-10-01,143.099433
2034-11-01,97.7734139
2034-12-01,83.00439547
2035-01-01,83.00439547
2035-02-01,128.2843246
2035-03-01,118.0167067
2035-04-01,72.6906875
2035-05-01,56.44317737
2035-06-01,64.69634873
2035-07-01,106.7162987
2035-08-01,120.2899689
2035-09-01,74.96394978
2035-10-01,53.9953758
2035-11-01,93.88961223
2035-12-01,117.7655046
2036-01-01,104.704571
2036-02-01,108.865679
2036-03-01,74.34206801
2036-04-01,119.6680872
2036-05-01,123.7455134
2036-06-01,100.4670609
2036-07-01,81.8417152
2036-08-01,53.9953758
2036-09-01,78.38641611
2036-10-01,110.8380277
2036-11-01,101.8509737
2036-12-01,107.7029987
2037-01-01,62.37697953
2037-02-01,99.32139495
2037-03-01,53.9953758
2037-04-01,78.41949424
2037-05-01,106.533491
2037-06-01,61.20747185
2037-07-01,96.45967518
2037-08-01,99.32139495
2037-09-01,53.9953758
2037-10-01,66.99495889
2037-11-01,84.17390315
2037-12-01,73.82696132
2038-01-01,120.4529308
2038-02-01,131.8629347
2038-03-01,86.53691555
2038-04-01,103.2626228
2038-05-01,133.4617758
2038-06-01,96.81778193
2038-07-01,51.49176277
2038-08-01,67.15621263
2038-09-01,112.4822318
2038-10-01,133.4617758
2038-11-01,101.8509737
2038-12-01,93.88961223
2039-01-01,112.4822318
2039-02-01,92.63020007
2039-03-01,132.8087566
2039-04-01,119.1529805
2039-05-01,94.25640076
2039-06-01,139.5824199
2039-07-01,133.4617758
2039-08-01,133.4617758
2039-09-01,119.6680872
2039-10-01,122.5689674
2039-11-01,77.24294824
2039-12-01,91.3859992
2040-01-01,88.13575668
2040-02-01,133.4617758
2040-03-01,95.16560984
2040-04-01,104.704571
2040-05-01,96.45967518
2040-06-01,65.84785395
2040-07-01,58.84445945
2040-08-01,51.49176277
2040-09-01,71.55441368
2040-10-01,106.7162987
2040-11-01,152.0423179
2040-12-01,106.533491
2041-01-01,61.20747185
2041-02-01,91.3859992
2041-03-01,67.15621263
2041-04-01,112.4822318
2041-05-01,68.13842676
2041-06-01,95.16560984
2041-07-01,70.41742522
2041-08-01,85.35110741
2041-09-01,77.24294824
2041-10-01,95.16560984
2041-11-01,60.03026759
2041-12-01,112.6135555
2042-01-01,145.79308
2042-02-01,100.4670609
2042-03-01,119.6680872
2042-04-01,90.15573034
2042-05-01,121.6572626
2042-06-01,136.376988
2042-07-01,114.180543
2042-08-01,134.2642168
2042-09-01,88.93819763
2042-10-01,65.84785395
2042-11-01,70.41742522
2042-12-01,97.83636607
2043-01-01,140.491629
2043-02-01,95.16560984
2043-03-01,82.95830541
2043-04-01,128.2843246
2043-05-01,92.63020007
2043-06-01,53.9953758
2043-07-01,79.53352105
2043-08-01,58.84445945
2043-09-01,92.63020007
2043-10-01,71.55441368
2043-11-01,69.27900429
2043-12-01,69.27900429
2044-01-01,71.55441368
2044-02-01,114.180543
2044-03-01,117.7655046
2044-04-01,96.81778193
2044-05-01,67.15621263
2044-06-01,112.4822318
2044-07-01,147.2453545
2044-08-01,125.9481613
2044-09-01,137.9562192
2044-10-01,92.63020007
2044-11-01,51.49176277
2044-12-01,66.99495889
2045-01-01,99.10857282
2045-02-01,101.8509737
2045-03-01,78.41949424
2045-04-01,121.4283899
2045-05-01,76.10237071
2045-06-01,74.96394978
2045-07-01,95.16560984
2045-08-01,53.9953758
2045-09-01,78.38641611
2045-10-01,101.9193353
2045-11-01,147.2453545
2045-12-01,125.9481613
2046-01-01,81.8417152
2046-02-01,96.45967518
2046-03-01,65.84785395
2046-04-01,85.35110741
2046-05-01,60.03026759
2046-06-01,76.10237071
2046-07-01,70.41742522
2046-08-01,87.73227864
2046-09-01,69.27900429
2046-10-01,81.8417152
2046-11-01,65.84785395
2046-12-01,87.73227864
2047-01-01,112.6135555
2047-02-01,113.4644459
2047-03-01,82.95830541
2047-04-01,128.2843246
2047-05-01,108.865679
2047-06-01,85.45229915
2047-07-01,130.7783183
2047-08-01,147.2453545
2047-09-01,126.0110454
2047-10-01,80.68502627
2047-11-01,92.63020007
2047-12-01,53.9953758
2048-01-01,79.53352105
2048-02-01,60.03026759
2048-03-01,91.0509688
2048-04-01,136.376988
2048-05-01,121.6572626
2048-06-01,107.6911319
2048-07-01,86.53691555
2048-08-01,88.13575668
2048-09-01,133.4617758
2048-10-01,108.865679
2048-11-01,63.5396598
2048-12-01,77.24294824
2049-01-01,68.13842676
2049-02-01,83.00439547
2049-03-01,72.6906875
2049-04-01,74.96394978
2049-05-01,99.10857282
2049-06-01,106.7162987
2049-07-01,116.8804328
2049-08-01,71.55441368
2049-09-01,71.55441368
2049-10-01,96.45967518
2049-11-01,125.9481613
2049-12-01,92.63020007
2050-01-01,68.13842676
2050-02-01,74.96394978
2050-03-01,87.73227864
2050-04-01,68.85452385
2050-05-01,107.7029987
2050-06-01,62.37697953
2050-07-01,85.35110741
2050-08-01,73.82696132
2050-09-01,88.13575668
2050-10-01,133.4617758
2050-11-01,117.7655046
2050-12-01,105.3562867
